route_id,source,destination,date,temp,tempmin,tempmax,humidity,windspeed,precip,conditions,traffic_distance_m,traffic_duration_min,no_traffic_duration_min
1,Hyderabad,Uppal,2025-11-22,20.9,16.9,26.6,54.2,13.0,0.0,Overcast,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-23,19.6,17.5,23.2,58.4,13.0,0.0,Overcast,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-24,20.6,17.1,25.9,53.7,15.5,0.0,Partially cloudy,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-25,21.0,17.2,26.1,56.7,16.2,0.0,Overcast,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-26,21.1,17.5,26.2,49.6,21.2,0.0,Overcast,11412,25.316666666666663,
2,Hyderabad,Uppal,2025-11-12,22.3,18.0,28.8,53.8,20.5,0.0,Clear,11412,25.35,
2,Hyderabad,Uppal,2025-11-13,20.6,16.4,26.3,51.1,12.2,0.0,Clear,11412,25.35,
2,Hyderabad,Uppal,2025-11-14,20.1,15.4,26.1,52.2,12.2,0.0,Clear,11412,25.35,
2,Hyderabad,Uppal,2025-11-15,20.1,15.5,25.8,54.7,11.9,0.0,Clear,11412,25.35,
2,Hyderabad,Uppal,2025-11-16,19.9,15.6,25.6,55.8,14.0,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-17,19.8,15.3,25.7,54.1,13.3,0.0,Clear,11412,25.35,
2,Hyderabad,Uppal,2025-11-18,20.1,16.1,25.8,55.1,11.5,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-19,20.9,16.5,26.9,51.8,9.4,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-20,21.3,17.2,27.2,49.3,13.3,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-21,20.8,16.2,27.0,49.8,11.2,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-22,20.9,16.9,26.6,54.2,13.0,0.0,Overcast,11412,25.35,
2,Hyderabad,Uppal,2025-11-23,19.6,17.5,23.2,58.4,13.0,0.0,Overcast,11412,25.35,
2,Hyderabad,Uppal,2025-11-24,20.6,17.1,25.9,53.7,15.5,0.0,Partially cloudy,11412,25.35,
2,Hyderabad,Uppal,2025-11-25,21.0,17.2,26.1,56.7,16.2,0.0,Overcast,11412,25.35,
2,Hyderabad,Uppal,2025-11-26,21.1,17.5,26.2,49.6,21.2,0.0,Overcast,11412,25.35,
3,Hyderabad,Uppal,2025-11-12,22.3,18.0,28.8,53.8,20.5,0.0,Clear,11412,25.35,
3,Hyderabad,Uppal,2025-11-13,20.6,16.4,26.3,51.1,12.2,0.0,Clear,11412,25.35,
3,Hyderabad,Uppal,2025-11-14,20.1,15.4,26.1,52.2,12.2,0.0,Clear,11412,25.35,
3,Hyderabad,Uppal,2025-11-15,20.1,15.5,25.8,54.7,11.9,0.0,Clear,11412,25.35,
3,Hyderabad,Uppal,2025-11-16,19.9,15.6,25.6,55.8,14.0,0.0,Partially cloudy,11412,25.35,
